Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Mainland Asian woodfuel-trade network,CHN,China,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,IND,India,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,KHM,Cambodia,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,LAO,Lao People's Democratic Republic,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,MMR,Myanmar,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,NPL,Nepal,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,THA,Thailand,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Mainland Asian woodfuel-trade network,VNM,Viet Nam,MASIA,M67_GME_V2,M67_02_MAINLAND_ASIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Azerbaijan-Turkiye charcoal corridor,AZE,Azerbaijan,AZTR,M67_GME_V2,M67_09_AZERBAIJAN_TURKIYE,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Azerbaijan-Turkiye charcoal corridor,TUR,Turkey,AZTR,M67_GME_V2,M67_09_AZERBAIJAN_TURKIYE,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Indonesia-Malaysia charcoal corridor,IDN,Indonesia,IDMY,M67_GME_V2,M67_13_INDONESIA_MALAYSIA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Indonesia-Malaysia charcoal corridor,MYS,Malaysia,IDMY,M67_GME_V2,M67_13_INDONESIA_MALAYSIA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Afghanistan singleton,AFG,Afghanistan,afg,M67_GME_V2,M67_14_AFG_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Armenia singleton,ARM,Armenia,arm,M67_GME_V2,M67_15_ARM_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Bangladesh singleton,BGD,Bangladesh,bgd,M67_GME_V2,M67_16_BGD_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Bhutan singleton,BTN,Bhutan,btn,M67_GME_V2,M67_18_BTN_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Georgia singleton,GEO,Georgia,geo,M67_GME_V2,M67_29_GEO_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Iran (Islamic Republic of) singleton,IRN,Iran (Islamic Republic of),irn,M67_GME_V2,M67_34_IRN_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Iraq singleton,IRQ,Iraq,irq,M67_GME_V2,M67_35_IRQ_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Jordan singleton,JOR,Jordan,jor,M67_GME_V2,M67_37_JOR_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Kazakhstan singleton,KAZ,Kazakhstan,kaz,M67_GME_V2,M67_38_KAZ_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Kyrgyzstan singleton,KGZ,Kyrgyzstan,kgz,M67_GME_V2,M67_39_KGZ_SINGLETON,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
