Subregion,GID_0,NAME_0,RunCode,CandidateID,CandidateRegionID,ImporterV,EvidenceConfidence,Status
Great Lakes-East Africa charcoal network,BDI,Burundi,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,COD,Democratic Republic of the Congo,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,KEN,Kenya,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,RWA,Rwanda,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,SDN,Sudan,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,SOM,Somalia,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,SSD,South Sudan,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,TZA,United Republic of Tanzania,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Great Lakes-East Africa charcoal network,UGA,Uganda,GLEA,M67_GME_V2,M67_01_GREAT_LAKES_EAST_AFRICA,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,BEN,Benin,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,CAF,Central African Republic,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,CMR,Cameroon,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,COG,Congo,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,0,no_direction_admitted_under_moderate_rule,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,NER,Niger,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,NGA,Nigeria,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Central Africa-Lake Chad charcoal network,TCD,Chad,CALC,M67_GME_V2,M67_03_CENTRAL_AFRICA_LAKE_CHAD,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,BWA,Botswana,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,MOZ,Mozambique,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,MWI,Malawi,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,SWZ,Eswatini,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,sensitivity_explicit_direction_only,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,ZAF,South Africa,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,high_current_material_or_current_official_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,ZMB,Zambia,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Southern African charcoal network,ZWE,Zimbabwe,SAFR,M67_GME_V2,M67_04_SOUTHERN_AFRICA,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
Senegambia-western Sahel charcoal network,GIN,Guinea,SWSAH,M67_GME_V2,M67_05_SENEGAMBIA_WESTERN_SAHEL,1,sensitivity_explicit_direction_only,proposed_configuration_not_spatially_built_or_model_validated
Senegambia-western Sahel charcoal network,GMB,Gambia,SWSAH,M67_GME_V2,M67_05_SENEGAMBIA_WESTERN_SAHEL,1,moderate_physical_or_recurrent_evidence,proposed_configuration_not_spatially_built_or_model_validated
